Price,Close,High,Low,Open,Volume
Ticker,CADIDR=X,CADIDR=X,CADIDR=X,CADIDR=X,CADIDR=X
Date,,,,,
2020-12-21,11019.908203125,11027.2021484375,10778.96875,11024.9462890625,0
2020-12-22,10975.2099609375,10977.513671875,10762.3427734375,10975.908203125,0
2020-12-23,10944.00390625,10982.09765625,10873.541015625,10943.341796875,0
2020-12-24,11008.9404296875,11035.9658203125,10889.6572265625,11007.5693359375,0
2020-12-25,10998.4052734375,11017.3828125,10861.78125,10998.4052734375,0
2020-12-28,10903.5732421875,10911.9990234375,10826.5888671875,10903.712890625,0
2020-12-29,10997.203125,11001.072265625,10843.3037109375,10998.0439453125,0
2020-12-30,10975.998046875,10978.3740234375,10812.310546875,10973.517578125,0
2020-12-31,10848.16015625,10928.203125,10845.3251953125,10848.056640625,0
2021-01-01,10944.369140625,10963.4072265625,10944.369140625,10944.369140625,0
2021-01-04,10917.0908203125,10939.9365234375,10755.376953125,10916.9853515625,0
2021-01-05,10855.09375,10860.5380859375,10762.7958984375,10854.81640625,0
2021-01-06,10962.6123046875,10973.4873046875,10777.5966796875,10961.3818359375,0
2021-01-07,10926.0771484375,10949.724609375,10771.71484375,10926.4619140625,0
2021-01-08,10952.5048828125,10970.6572265625,10810.03515625,10951.94140625,0
2021-01-11,10922.185546875,10930.5693359375,10875.4375,10924.580078125,0
2021-01-12,11028.0986328125,11033.81640625,10907.3369140625,11027.3173828125,0
2021-01-13,11041.1767578125,11112.97265625,10881.3115234375,11041.1767578125,0
2021-01-14,11061.93359375,11124.6416015625,10926.271484375,11061.9697265625,0
2021-01-15,11119.0634765625,11121.1982421875,10866.57421875,11120.1484375,0
2021-01-18,10884.2802734375,10882.3369140625,10852.9296875,10882.3369140625,0
2021-01-19,10874.5283203125,10913.650390625,10844.7021484375,10874.2451171875,0
2021-01-20,11.026104927062988,11152.2998046875,10886.90625,10922.4345703125,0
2021-01-21,11095.859375,11105.2958984375,10923.2900390625,11095.7861328125,0
2021-01-22,11039.0048828125,11038.14453125,10833.9541015625,11037.3193359375,0
2021-01-25,11017.931640625,11027.2255859375,10857.486328125,11017.1484375,0
2021-01-26,10996.9326171875,10998.8876953125,10849.8154296875,10996.896484375,0
2021-01-27,11062.6064453125,11064.6123046875,10854.763671875,11062.9638671875,0
2021-01-28,10952.1748046875,10959.734375,10769.76953125,10951.6806640625,0
2021-01-29,10802.2119140625,10847.2529296875,10781.9658203125,10800.68359375,0
